ID,Parking,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony
274686779,,Косметический,На улицу и двор,3,4.0,76.0,60000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,2.0
274862000,,Евроремонт,Во двор,1,25.0,35.3,36000.0,1,,1.0,1.0,1.0,1.0,1.0
274747534,,Евроремонт,На улицу и двор,2,25.0,71.7,55000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,1.0,1.0
273551383,,Косметический,На улицу,1,20.0,41.2,36000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
273693111,наземная,Евроремонт,На улицу,3,10.0,70.0,65000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,2.0,1.0
273510895,,Косметический,Во двор,1,4.0,40.0,30000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0
265111957,наземная,Косметический,Во двор,2,4.0,57.0,45000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,1.0,1.0
267761830,,Косметический,,1,20.0,42.0,35000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0
271601843,,Евроремонт,На улицу и двор,3,,68.0,48000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0
275004836,,Косметический,На улицу и двор,3,11.0,82.0,55000.0,1,,,,,1.0,1.0
273907511,наземная,Косметический,Во двор,1,10.0,41.0,29999.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
235355662,,Евроремонт,Во двор,1,4.0,37.0,38000.0,1,Срок аренды - Длительный,2.0,,,1.0,1.0
268903569,,,На улицу и двор,3,14.0,87.0,80000.0,1,Срок аренды - Длительный,4.0,1.0,0.0,2.0,1.0
274794055,,,Во двор,3,11.0,84.0,95000.0,1,Срок аренды - Длительный,,1.0,0.0,1.0,
274455296,,Косметический,Во двор,1,7.0,38.0,28000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0
274838267,,Косметический,,1,20.0,38.0,28000.0,1,Срок аренды - Длительный,2.0,,,1.0,1.0
274905945,наземная,Косметический,Во двор,1,11.0,35.0,29000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,,1.0
273089522,наземная,Евроремонт,На улицу,1,15.0,30.0,30000.0,0,,,1.0,0.0,1.0,
272169225,наземная,Косметический,Во двор,1,20.0,38.0,30000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0
274177400,,Косметический,,1,20.0,40.0,30000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,1.0,1.0
273379337,наземная,Косметический,Во двор,1,20.0,38.0,30000.0,1,Срок аренды - Длительный,3.0,,,,1.0
274164058,,Косметический,Во двор,1,8.0,38.0,32000.0,1,Срок аренды - Длительный,,1.0,1.0,1.0,1.0
273764363,,Косметический,,1,20.0,42.4,32000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0
274173656,наземная,Косметический,На улицу,1,12.0,44.7,35000.0,1,Срок аренды - Длительный,2.0,,,1.0,1.0
274063411,наземная,Косметический,Во двор,2,22.0,58.0,36000.0,1,Срок аренды - Длительный,3.0,,,1.0,1.0
236543080,,Евроремонт,,1,10.0,36.0,38000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
256888072,наземная,Евроремонт,Во двор,1,19.0,42.0,38000.0,1,Срок аренды - Длительный,3.0,,,1.0,2.0
271083068,,Евроремонт,,1,,41.2,40000.0,1,Срок аренды - Длительный,3.0,,,1.0,1.0
274622371,,Косметический,Во двор,2,15.0,64.0,40000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
274917579,наземная,Евроремонт,,2,10.0,55.0,40000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,2.0
